"STN
Code",Type Water Body,State Name,"Temperature
?C (Min)","Temperature
?C (Max)",Dissolved Oxygen (mg/L) (Min),Dissolved Oxygen (mg/L) (Max),pH (Min),pH (Max),Conductivity (?mhos/cm) (Min),Conductivity (?mhos/cm) (Max),BOD (mg/L) (Min),BOD (mg/L) (Max),Nitrate N + Nitrite N(mg/L) (Min),Nitrate N + Nitrite N(mg/L) (Max),Fecal Coliform (MPN/100ml) (Min),Fecal Coliform (MPN/100ml) (Max),Total Coliform (MPN/100ml) (Min),Total Coliform (MPN/100ml) (Max),Predicted Water Quality
3253.0,0,10,12.2,27.5,4.8,8.9,7.6,8.3,188,267,2.0,6.3,,,,,,,Poor
2739.0,0,10,14.0,24.0,5.9,7.9,7.5,8.1,192,239,1.0,1.0,0.02,0.02,,,,,Poor
2741.0,0,10,15.0,26.0,6.1,6.5,8.1,8.6,170,240,3.4,16.4,0.04,0.04,,,,,Poor
4048.0,0,10,9.4,27.0,2.5,7.5,7.3,7.6,197,291,2.0,5.1,,,,,,,Poor
4049.0,0,10,10.0,21.0,1.6,8.1,7.1,7.5,90,487,1.3,5.6,,,,,,,Poor
3266.0,0,10,6.1,24.0,3.0,7.9,7.2,7.9,70,165,1.0,4.6,,,,,,,Poor
3263.0,0,10,6.0,24.1,4.2,6.8,7.1,7.6,194,260,1.3,2.7,,,,,,,Poor
3264.0,0,10,8.6,26.0,4.4,8.5,7.1,8.0,161,249,1.5,2.7,,,,,,,Poor
3265.0,0,10,8.5,28.4,2.4,8.7,7.1,7.7,188,268,1.8,5.7,,,,,,,Poor
2398.0,0,11,20.0,32.0,7.0,8.0,7.2,7.7,168,243,1.0,1.6,,,,,,,Poor
2394.0,0,11,19.5,20.0,7.4,7.6,7.5,7.5,,,2.4,2.5,,,,,,,Poor
4491.0,1,11,17.0,31.0,3.6,8.0,7.6,8.2,296,350,2.1,2.6,,,,,,,Poor
4740.0,1,11,20.0,23.0,2.0,4.9,7.3,7.4,,,3.9,12.8,,,,,,,Poor
4741.0,1,11,19.0,23.0,4.0,4.2,7.3,7.4,,,4.6,4.8,,,,,,,Poor
2393.0,1,11,17.0,32.0,6.2,7.6,7.6,8.2,310,332,1.5,2.6,,,,,,,Poor
4506.0,0,12,25.0,25.0,0.3,7.2,6.5,8.1,226,1399,3.0,42.0,0.70,3.00,4600,940000,35000,5400000,Poor
3612.0,0,12,25.0,25.0,1.9,7.0,6.5,7.7,324,1268,4.0,22.0,1.50,5.70,3300,150000,24000,1600000,Poor
3628.0,0,12,25.0,25.0,4.2,6.6,6.6,7.6,449,963,3.0,8.0,0.30,2.60,2300,1100000,24000,3500000,Poor
4096.0,0,12,25.0,25.0,0.3,6.2,6.3,7.2,358,1637,4.0,29.0,0.30,2.20,3400,700000,24000,5400000,Poor
3615.0,0,12,25.0,25.0,4.6,6.8,6.8,7.9,706,985,3.7,7.0,1.40,3.29,490,15000,5400,160000,Poor
4542.0,0,12,25.0,25.0,4.4,6.5,6.5,8.1,209,1194,4.0,9.0,0.70,3.20,3300,140000,24000,540000,Poor
4515.0,0,12,25.0,25.0,3.2,6.8,7.1,8.5,706,949,4.0,17.0,0.40,6.49,3300,150000,24000,1600000,Poor
3602.0,0,12,25.0,25.0,0.3,2.8,6.5,6.9,1035,1187,18.0,87.0,1.10,5.00,2300,1200000000,24000,9200000000,Poor
3679.0,0,12,24.0,29.0,0.3,10.9,7.6,9.0,708,1528,1.0,38.0,0.32,6.00,920,1840,1600,3200,Poor
3649.0,0,12,25.0,25.0,5.7,6.9,6.5,7.2,141,312,3.0,5.0,0.40,11.50,1200,15000,16000,160000,Poor
4507.0,0,12,25.0,25.0,4.0,7.0,6.5,7.4,297,1326,3.0,11.0,0.60,2.30,3300,940000,24000,5400000,Poor
4095.0,0,12,25.0,25.0,1.0,7.0,6.5,7.7,225,1871,4.0,22.0,0.36,3.00,3300,1100000,24000,9200000,Poor
